time,vdd,vres
-4.77560e-02,0.11875,0.0107094
-4.77520e-02,0.113437,0.0104219
-4.77480e-02,0.1125,0.0102531
-4.77440e-02,0.109688,0.0102531
-4.77400e-02,0.117812,0.00993438
-4.77360e-02,0.11375,0.01055
-4.77320e-02,0.118438,0.0105656
-4.77280e-02,0.109375,0.010575
-4.77240e-02,0.117188,0.0103969
-4.77200e-02,0.111563,0.0102937
-4.77160e-02,0.110625,0.0103031
-4.77120e-02,0.11875,0.0106094
-4.77080e-02,0.11375,0.010725
-4.77040e-02,0.106562,0.0106687
-4.77000e-02,0.116563,0.010375
-4.76960e-02,0.110313,0.0105531
-4.76920e-02,0.113125,0.010925
-4.76880e-02,0.10625,0.0105969
-4.76840e-02,0.116563,0.0105312
-4.76800e-02,0.116563,0.0105594
-4.76760e-02,0.10625,0.0106344
-4.76720e-02,0.105938,0.0105656
-4.76680e-02,0.114688,0.0107781
-4.76640e-02,0.105938,0.01035
-4.76600e-02,0.112188,0.0104531
-4.76560e-02,0.117188,0.0105406
-4.76520e-02,0.11,0.0106656
-4.76480e-02,0.118125,0.0099625
-4.76440e-02,0.117812,0.00972812
-4.76400e-02,0.10875,0.0101125
-4.76360e-02,0.113437,0.0105688
-4.76320e-02,0.109063,0.0105719
-4.76280e-02,0.111563,0.0104187
-4.76240e-02,0.114375,0.0102156
-4.76200e-02,0.122187,0.010025
-4.76160e-02,0.111563,0.0103562
-4.76120e-02,0.111563,0.0107219
-4.76080e-02,0.109063,0.0105688
-4.76040e-02,0.107188,0.0103313
-4.76000e-02,0.106562,0.010125
-4.75960e-02,0.1125,0.0102906
-4.75920e-02,0.11125,0.0104875
-4.75880e-02,0.117812,0.0109438
-4.75840e-02,0.116875,0.0104656
-4.75800e-02,0.110937,0.0106344
-4.75760e-02,0.113437,0.0104094
-4.75720e-02,0.117188,0.0106469
-4.75680e-02,0.111563,0.0106156
-4.75640e-02,0.111875,0.0106094
-4.75600e-02,0.107813,0.0105688
-4.75560e-02,0.11125,0.0106031
-4.75520e-02,0.119687,0.0105375
-4.75480e-02,0.106562,0.0106344
-4.75440e-02,0.115938,0.0106938
-4.75400e-02,0.11,0.0102719
-4.75360e-02,0.115312,0.0104656
-4.75320e-02,0.110937,0.0106094
-4.75280e-02,0.114063,0.0101188
-4.75240e-02,0.115625,0.00976562
-4.75200e-02,0.11,0.0098
-4.75160e-02,0.110625,0.0101219
-4.75120e-02,0.112188,0.0103031
-4.75080e-02,0.110313,0.0104844
-4.75040e-02,0.1075,0.0102063
-4.75000e-02,0.1125,0.0102063
-4.74960e-02,0.1125,0.00976875
-4.74920e-02,0.115625,0.0107969
-4.74880e-02,0.10875,0.0105844
-4.74840e-02,0.11,0.01045
-4.74800e-02,0.114375,0.0102594
-4.74760e-02,0.115312,0.0100594
-4.74720e-02,0.114375,0.010525
-4.74680e-02,0.112812,0.0107688
-4.74640e-02,0.115938,0.0108594
-4.74600e-02,0.10625,0.010475
-4.74560e-02,0.113125,0.0105531
-4.74520e-02,0.10875,0.0101844
-4.74480e-02,0.10375,0.0105875
-4.74440e-02,0.11,0.0106938
-4.74400e-02,0.11125,0.010775
-4.74360e-02,0.105313,0.0104219
-4.74320e-02,0.11125,0.0105406
-4.74280e-02,0.108125,0.010625
-4.74240e-02,0.117812,0.0105125
-4.74200e-02,0.110625,0.0103844
-4.74160e-02,0.111563,0.0106094
-4.74120e-02,0.112812,0.0105813
-4.74080e-02,0.113125,0.0104438
-4.74040e-02,0.111563,0.00997812
-4.74000e-02,0.111875,0.00969375
-4.73960e-02,0.11,0.0100437
-4.73920e-02,0.107813,0.0100969
-4.73880e-02,0.115938,0.0105781
-4.73840e-02,0.1125,0.0103344
-4.73800e-02,0.110937,0.0101437
-4.73760e-02,0.109375,0.00995937
-4.73720e-02,0.116563,0.0105625
-4.73680e-02,0.106562,0.0108687
-4.73640e-02,0.11125,0.0107125
-4.73600e-02,0.105313,0.0105875
-4.73560e-02,0.114063,0.0103656
-4.73520e-02,0.104062,0.0103313
-4.73480e-02,0.107813,0.0107125
-4.73440e-02,0.105313,0.0108094
-4.73400e-02,0.10875,0.0105063
-4.73360e-02,0.107188,0.0106031
-4.73320e-02,0.112812,0.0103719
-4.73280e-02,0.115,0.0106188
-4.73240e-02,0.118125,0.0110531
-4.73200e-02,0.116875,0.0105906
-4.73160e-02,0.11125,0.0103344
-4.73120e-02,0.111875,0.0102125
-4.73080e-02,0.107188,0.0106125
-4.73040e-02,0.108437,0.0105656
-4.73000e-02,0.11125,0.0103719
-4.72960e-02,0.109688,0.0100969
-4.72920e-02,0.110625,0.0105625
-4.72880e-02,0.109375,0.0104563
-4.72840e-02,0.113125,0.00996875
-4.72800e-02,0.114375,0.00981563
-4.72760e-02,0.115938,0.0100781
-4.72720e-02,0.11125,0.0101531
-4.72680e-02,0.108125,0.0103344
-4.72640e-02,0.11125,0.0101969
-4.72600e-02,0.102813,0.0103531
-4.72560e-02,0.110313,0.00985312
-4.72520e-02,0.109063,0.0101687
-4.72480e-02,0.118125,0.0104031
-4.72440e-02,0.112812,0.010675
-4.72400e-02,0.107813,0.0106969
-4.72360e-02,0.110937,0.0102563
-4.72320e-02,0.112188,0.0101781
-4.72280e-02,0.114063,0.010725
-4.72240e-02,0.110313,0.0105125
-4.72200e-02,0.115625,0.0106094
-4.72160e-02,0.111875,0.0105437
-4.72120e-02,0.112812,0.0100563
-4.72080e-02,0.116875,0.0107656
-4.72040e-02,0.12,0.0106531
-4.72000e-02,0.110313,0.0104469
-4.71960e-02,0.114375,0.0104406
-4.71920e-02,0.110625,0.0103219
-4.71880e-02,0.112188,0.0104938
-4.71840e-02,0.113125,0.0105781
-4.71800e-02,0.119063,0.010325
-4.71760e-02,0.109375,0.0100906
-4.71720e-02,0.115312,0.0105563
-4.71680e-02,0.114063,0.010475
-4.71640e-02,0.107813,0.010225
-4.71600e-02,0.11875,0.00977187
-4.71560e-02,0.114375,0.0100281
-4.71520e-02,0.10375,0.0100469
-4.71480e-02,0.1175,0.0103531
-4.71440e-02,0.118438,0.0101313
-4.71400e-02,0.115,0.0101375
-4.71360e-02,0.114688,0.0107312
-4.71320e-02,0.115938,0.0106281
-4.71280e-02,0.108437,0.0102625
-4.71240e-02,0.113125,0.0104875
-4.71200e-02,0.108437,0.0104469
-4.71160e-02,0.110937,0.0105844
-4.71120e-02,0.111563,0.0102781
-4.71080e-02,0.114688,0.0104344
-4.71040e-02,0.115312,0.00978125
-4.71000e-02,0.115,0.00986563
-4.70960e-02,0.1075,0.0104656
-4.70920e-02,0.12,0.0105688
-4.70880e-02,0.1125,0.0105063
-4.70840e-02,0.1175,0.0104187
-4.70800e-02,0.108125,0.0103625
