pressure,voltage
0.4933,-0.025
1.0097,-0.019
1.9419,-0.0163
2.8418,-0.0125
4.2414,-0.0031
4.8586,-0.0017
6.3421,0.0075
7.2253,0.009
8.2092,0.0136
9.3092,0.0233
10.553,0.0289
11.905,0.0308
13.374,0.0383
14.983,0.0488
16.759,0.0546
18.7,0.0607
20.833,0.0709
23.222,0.0825
25.877,0.091
28.957,0.1046
32.618,0.1251
