pressure,voltage
0.41772,-0.0154
1.0321,-0.015
2.0636,-0.0095
2.8054,-0.0048
4.058,0.0022
4.8222,0.0006
6.121,0.0058
7.0083,0.0115
7.7543,0.0116
8.825,0.0184
10.005,0.0193
11.136,0.026
12.15,0.0278
12.913,0.0332
13.964,0.0332
15.46,0.0341
15.852,0.0388
17.144,0.0414
18.142,0.0434
18.891,0.0479
19.793,0.0522
20.955,0.0566
22.122,0.0573
23.178,0.0622
23.949,0.0654
25.077,0.0658
25.87,0.0717
27.05,0.0768
27.736,0.0763
29.231,0.08
29.863,0.084
30.826,0.0832
32.198,0.092
32.825,0.0897
34.09,0.0967
35.126,0.1014
36.156,0.1007
37.236,0.1089
37.992,0.1088
39.308,0.1113
