pressure,voltage
0.40933,-0.0376
0.95936,-0.0258
1.8817,-0.02
2.8614,-0.0154
4.0664,-0.0104
4.9496,-0.0103
6.0566,-0.0086
6.8166,-0.0008
7.7823,-0.0047
9.0825,0.0013
9.8663,0.0048
11.039,0.0106
11.868,0.013
12.971,0.0152
13.973,0.0153
14.924,0.0186
16.047,0.0238
16.992,0.0274
17.953,0.0281
19.004,0.0321
20.006,0.0361
20.912,0.0381
21.879,0.0416
23.06,0.0443
23.922,0.0494
25.064,0.051
25.931,0.0549
27.13,0.0557
28.086,0.0618
29.393,0.065
31.033,0.0732
32.304,0.0737
33.295,0.0738
34.006,0.0825
35.081,0.0826
36.078,0.0879
37.108,0.0923
