pressure,voltage
2.002,0.0414
2.9901,0.0584
3.9894,0.0721
4.9817,0.0782
6.023,0.0866
6.9887,0.0944
8.037,0.1095
8.9691,0.1187
10.01,0.1281
10.962,0.1278
11.999,0.1428
13.013,0.1552
13.977,0.1613
15.02,0.1671
15.982,0.1728
17.024,0.1888
17.949,0.1863
18.945,0.1824
20.009,0.2048
20.917,0.2151
21.889,0.2242
22.922,0.2288
24.034,0.2342
24.927,0.2434
25.88,0.246
26.91,0.2537
28.02,0.2602
28.822,0.2702
30.143,0.2735
31.117,0.2796
32.215,0.2917
32.808,0.2976
34.157,0.3005
34.947,0.3149
35.792,0.317
