pressure,voltage
1.9964,-0.0057
3.0209,-0.0022
4.0272,0.0043
5.0097,0.0105
5.9587,0.0163
6.9859,0.0238
8.0622,0.0307
9.0223,0.0374
9.9335,0.0444
10.94,0.0511
12.052,0.0585
13.06,0.0651
13.907,0.0709
15.083,0.0788
16.078,0.0834
16.882,0.0881
18.006,0.0953
18.901,0.1009
19.851,0.1081
20.856,0.1153
21.922,0.1233
23.059,0.1315
23.862,0.1367
25.129,0.1454
26.026,0.1519
26.975,0.1579
27.968,0.165
29.024,0.1714
30.138,0.1796
30.731,0.183
31.968,0.1921
33.306,0.1949
34.017,0.1985
34.762,0.2028
36.385,0.2109
37.292,0.216
38.283,0.2217
39.403,0.2277
